t,S,D,N,viralidad,avg_susceptibilidad,avg_actividad,D_credulos,D_escepticos,D_verificadores,D_super_propagadores,D_hubs,exposicion_media_desinfo,exposicion_max_desinfo,actividad_total_desinfo
101,73,78,249,0.3825,0.5650524052862138,1.6922835573366402,33,23,22,15,15,0.4134189821385937,5.950181046308443,158.73829766210125
102,73,74,253,0.3775,0.5661167772909783,1.6922835573366402,32,22,20,15,15,0.3968457441552532,5.632141567601742,151.00381618806284
103,77,66,257,0.3675,0.5671240107359972,1.6922835573366402,28,23,15,9,9,0.3775095404701571,5.569826373929426,118.48342443371322
104,73,67,260,0.3575,0.5679678582578168,1.6922835573366402,28,23,16,12,12,0.2962085610842829,4.713591168869458,134.0714913733541
105,70,64,266,0.35,0.5688911588344562,1.6922835573366402,28,21,15,11,11,0.33517872843338514,5.670132452363269,127.29384154967768
106,73,60,267,0.335,0.5697671667087297,1.6922835573366402,32,16,12,11,11,0.31823460387419406,5.029239945182383,121.41128476588302
107,77,56,267,0.3325,0.5705945814418534,1.6922835573366402,31,16,9,10,10,0.30352821191470747,5.580146543483607,113.20082864350019
108,77,55,268,0.3325,0.5713644021643723,1.6922835573366402,32,17,6,11,11,0.2830020716087504,4.725253816824169,105.67089709596131
109,72,58,270,0.33,0.5720601933429905,1.6922835573366402,32,19,7,11,11,0.26417724273990323,4.365183402175421,113.54910311983895
110,72,56,272,0.325,0.5728141582197162,1.6922835573366402,31,16,9,10,10,0.2838727577995973,4.812674227939678,108.54683071316425
111,67,55,278,0.32,0.5734980400405396,1.6922835573366402,32,15,8,8,8,0.2713670767829106,4.326166338390183,104.20207798390204
112,64,55,281,0.305,0.574186459271182,1.6922835573366402,31,17,7,8,8,0.26050519495975505,4.668298183722702,102.37184678987418
113,55,58,287,0.2975,0.574880683014747,1.6922835573366402,32,17,9,9,9,0.2559296169746854,4.755558387817324,114.78683127256033
114,56,57,287,0.2825,0.575654827825811,1.6922835573366402,32,15,10,10,10,0.28696707818140077,4.9500413179997915,117.50666076279964
115,56,55,289,0.2825,0.5764220285049411,1.6922835573366402,33,13,9,10,10,0.29376665190699897,5.069542382344227,112.61604674337
116,56,54,290,0.2775,0.5771418879196477,1.6922835573366402,32,13,9,10,10,0.281540116858425,5.087370314884835,109.99038680455952
117,59,50,291,0.275,0.5778322995182351,1.6922835573366402,31,11,8,10,10,0.27497596701139876,5.206994156267555,106.05965811305299
118,59,49,292,0.2725,0.5784816889518342,1.6922835573366402,31,10,8,9,9,0.2651491452826324,5.069542382344227,103.96764870182064
119,59,48,293,0.27,0.579149296630922,1.6922835573366402,28,10,10,7,7,0.25991912175455156,4.231150871861437,104.84865166815746
120,54,52,294,0.2675,0.5797777399143228,1.6922835573366402,32,11,9,9,9,0.2621216291703936,4.7352844392292175,106.73831611187087
121,56,50,294,0.265,0.5804158334024765,1.6922835573366402,33,10,7,10,10,0.2668457902796771,5.1386722125217155,102.18109277380529
122,49,55,296,0.265,0.5810134294189233,1.6922835573366402,34,12,9,10,10,0.25545273193451323,5.065506492331294,119.02489682148239
123,52,52,296,0.26,0.581726657246554,1.6922835573366402,33,11,8,9,9,0.29756224205370596,5.5710199552043775,109.76874412482746
