t,S,D,N,viralidad,avg_susceptibilidad,avg_actividad,D_credulos,D_escepticos,D_verificadores,D_super_propagadores,D_hubs,exposicion_media_desinfo,exposicion_max_desinfo,actividad_total_desinfo,tasa_cambio_D,estrategia
182,36,8,356,0.11,0.38697791508163504,1.6922835573366402,6,0,2,1,1,0.06403886049686167,1.940950398714782,27.26479769508792,1.0,Educación mediática
183,34,10,356,0.11,0.38705903149810506,1.6922835573366402,8,0,2,1,1,0.06816199423771979,1.940950398714782,34.95558191590704,2.0,Educación mediática
184,33,11,356,0.11,0.38716651345943176,1.6922835573366402,8,1,2,2,2,0.0873889547897676,2.2022982436784955,42.401973451947036,1.0,Educación mediática
185,33,10,357,0.11,0.3872886651836505,1.6922835573366402,5,2,3,2,2,0.10600493362986757,2.6987514481715484,35.454705583953135,-1.0,Educación mediática
186,31,12,357,0.1075,0.38737837063093344,1.6922835573366402,7,2,3,2,2,0.08863676395988282,3.4628653359835933,37.886521907424594,2.0,Educación mediática
187,29,13,358,0.1075,0.38747674444952485,1.6922835573366402,9,2,2,2,2,0.09471630476856148,3.4628653359835933,45.348075098714894,1.0,Educación mediática
188,29,12,359,0.105,0.3875981662237099,1.6922835573366402,8,2,2,2,2,0.11337018774678724,3.4628653359835933,43.3564015898931,-1.0,Educación mediática
189,29,12,359,0.1025,0.38771313109755035,1.6922835573366402,8,2,2,2,2,0.10839100397473278,3.4628653359835933,43.3564015898931,0.0,Educación mediática
190,29,12,359,0.1025,0.3878277780721167,1.6922835573366402,8,2,2,2,2,0.10839100397473278,3.4628653359835933,39.444855391586565,0.0,Educación mediática
191,27,11,362,0.1025,0.38793254044603004,1.6922835573366402,8,1,2,1,1,0.09861213847896642,3.054554825475526,31.322033465533853,-1.0,Educación mediática
192,27,10,363,0.095,0.38802040085432893,1.6922835573366402,6,1,3,1,1,0.07830508366383461,2.755659101858355,30.916372364391908,-1.0,Educación mediática
193,25,10,365,0.0925,0.3881075828412146,1.6922835573366402,5,2,3,1,1,0.07729093091097977,2.755659101858355,30.51605964591114,0.0,Educación mediática
194,26,9,365,0.0875,0.38819270483001134,1.6922835573366402,5,2,2,1,1,0.07629014911477784,2.755659101858355,29.51640491375008,-1.0,Educación mediática
195,27,8,365,0.0875,0.38827298640883107,1.6922835573366402,5,2,1,1,1,0.0737910122843752,2.755659101858355,27.411184945617254,-1.0,Educación mediática
196,26,8,366,0.0875,0.3883444141030404,1.6922835573366402,6,1,1,1,1,0.06852796236404313,2.4350381446992673,27.70082811670285,0.0,Educación mediática
197,26,8,366,0.085,0.38841822303078943,1.6922835573366402,6,1,1,1,1,0.06925207029175713,2.4350381446992673,27.70082811670285,0.0,Educación mediática
198,24,9,367,0.085,0.38849184483667965,1.6922835573366402,7,1,1,1,1,0.06925207029175713,2.4350381446992673,29.69250162552464,1.0,Educación mediática
199,23,9,368,0.0825,0.38857135041783636,1.6922835573366402,7,1,1,1,1,0.07423125406381159,2.768986917658202,28.28883931350469,0.0,Educación mediática
200,24,8,368,0.08,0.38865269839402555,1.6922835573366402,8,0,0,1,1,0.0707220982837617,2.2748991716737166,27.690717131800334,-1.0,Educación mediática
201,23,8,369,0.08,0.3887340809703438,1.6922835573366402,8,0,0,1,1,0.06922679282950082,1.9542782145146285,27.690717131800334,0.0,Educación mediática
202,21,10,369,0.0775,0.3888152758481892,1.6922835573366402,9,1,0,1,1,0.06922679282950082,1.9542782145146285,31.773174030329212,2.0,Educación mediática
203,21,10,369,0.0775,0.38891149269926895,1.6922835573366402,8,2,0,1,1,0.07943293507582302,1.9542782145146285,31.076199236478242,0.0,Educación mediática
204,24,7,369,0.0775,0.3890033302218265,1.6922835573366402,5,2,0,1,1,0.0776904980911956,1.9542782145146285,20.656468638548503,-3.0,Educación mediática
205,24,7,369,0.0775,0.38906146834905114,1.6922835573366402,5,2,0,1,1,0.05164117159637126,1.4268534329123117,19.21429602756126,0.0,Educación mediática
206,25,6,369,0.0775,0.3891144895371397,1.6922835573366402,5,1,0,1,1,0.048035740068903154,1.3439651321246233,17.717214343617414,-1.0,Educación mediática
207,25,6,369,0.0775,0.3891613016215713,1.6922835573366402,5,1,0,1,1,0.04429303585904353,1.1749641305816731,17.717214343617414,0.0,Educación mediática
208,25,6,369,0.0775,0.3892080341345935,1.6922835573366402,4,1,1,1,1,0.04429303585904353,1.1749641305816731,17.830760802928452,0.0,Educación mediática
209,25,5,370,0.0775,0.38925732104540167,1.6922835573366402,3,2,0,1,1,0.04457690200732113,1.1515171239518889,14.336927513300003,-1.0,Educación mediática
210,24,5,371,0.075,0.38928996450694553,1.6922835573366402,3,2,0,1,1,0.03584231878325001,1.1515171239518889,14.336927513300003,0.0,Educación mediática
211,25,4,371,0.0725,0.38932254881632716,1.6922835573366402,2,2,0,1,1,0.03584231878325001,1.1515171239518889,13.949180941380805,-1.0,Educación mediática
212,23,5,372,0.0725,0.3893537428823143,1.6922835573366402,4,1,0,1,1,0.034872952353452016,1.1515171239518889,21.88853887355416,1.0,Educación mediática
213,21,5,374,0.07,0.3894103322882019,1.6922835573366402,4,1,0,1,1,0.0547213471838854,1.620329441555694,22.575411906621042,0.0,Educación mediática
214,21,5,374,0.065,0.3894720880888468,1.6922835573366402,3,2,0,0,0,0.05643852976655261,1.620329441555694,13.183511479180714,0.0,Educación mediática
215,19,7,374,0.065,0.38951978879472504,1.6922835573366402,5,2,0,1,1,0.032958778697951774,1.620329441555694,23.985800458268567,2.0,Educación mediática
216,22,4,374,0.065,0.3895879361849947,1.6922835573366402,4,0,0,1,1,0.059964501145671416,1.620329441555694,22.04153801434106,-3.0,Educación mediática
217,22,3,375,0.065,0.3896474680438918,1.6922835573366402,3,0,0,1,1,0.05510384503585265,1.620329441555694,19.45616279975603,-1.0,Educación mediática
218,21,3,376,0.0625,0.38969794168228084,1.6922835573366402,3,0,0,1,1,0.048640406999390075,1.620329441555694,19.45616279975603,0.0,Educación mediática
219,21,3,376,0.06,0.3897482769492382,1.6922835573366402,3,0,0,1,1,0.048640406999390075,1.620329441555694,19.45616279975603,0.0,Educación mediática
220,22,2,376,0.06,0.3897984743256785,1.6922835573366402,2,0,0,1,1,0.048640406999390075,1.620329441555694,17.533675585980422,-1.0,Educación mediática
221,23,1,376,0.06,0.3898388318756531,1.6922835573366402,1,0,0,0,0,0.04383418896495105,1.620329441555694,7.119133178811766,-1.0,Educación mediática
222,23,1,376,0.06,0.3898601124889086,1.6922835573366402,1,0,0,0,0,0.017797832947029416,1.620329441555694,7.119133178811766,0.0,Educación mediática
223,21,2,377,0.06,0.3898813125185095,1.6922835573366402,1,0,1,0,0,0.017797832947029416,1.620329441555694,8.768386675155018,1.0,Educación mediática
224,21,2,377,0.0575,0.3899088423274024,1.6922835573366402,1,0,1,0,0,0.02192096668788754,1.620329441555694,8.768386675155018,0.0,Educación mediática
225,21,2,377,0.0575,0.3899362855944176,1.6922835573366402,2,0,0,0,0,0.02192096668788754,1.620329441555694,8.231497400009868,0.0,Educación mediática
226,21,2,377,0.0575,0.38996245404375635,1.6922835573366402,2,0,0,1,1,0.02057874350002467,1.620329441555694,17.533675585980422,0.0,Educación mediática
227,20,3,377,0.0575,0.39000228513100604,1.6922835573366402,3,0,0,1,1,0.04383418896495105,1.620329441555694,19.52534909480221,1.0,Educación mediática
228,20,3,377,0.0575,0.3900479290018343,1.6922835573366402,3,0,0,1,1,0.04881337273700552,1.9542782145146285,19.52534909480221,0.0,Educación mediática
229,18,5,377,0.0575,0.3900934382462391,1.6922835573366402,4,1,0,1,1,0.04881337273700552,1.9542782145146285,21.050957227435713,2.0,Educación mediática
230,17,6,377,0.0575,0.3901448019717122,1.6922835573366402,5,1,0,1,1,0.052627393068589275,1.9542782145146285,21.464334723843518,1.0,Educación mediática
231,17,6,377,0.0575,0.39019672042995907,1.6922835573366402,5,1,0,1,1,0.05366083680960879,1.9542782145146285,21.464334723843518,0.0,Educación mediática
232,17,6,377,0.0575,0.390248500420376,1.6922835573366402,5,1,0,1,1,0.05366083680960879,1.9542782145146285,21.464334723843518,0.0,Educación mediática
233,18,5,377,0.0575,0.3903001424624988,1.6922835573366402,4,1,0,1,1,0.05366083680960879,1.9542782145146285,21.176352702858072,-1.0,Educación mediática
234,17,6,377,0.0575,0.3903504732948452,1.6922835573366402,4,2,0,1,1,0.05294088175714517,1.9542782145146285,22.67343438680192,1.0,Educación mediática
